"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","OS","Priority","Severity","Summary"
129094,"cnd","Debugger","mromashova","NEW"," ---","Allow user to select register values presentation","2017-04-14 01:53:33","All","P3","blocker","Allow user to select register values presentation"
157618,"python","Editor","tor","NEW"," ---","Lambda function parameters not handled correctly","2017-06-22 21:43:58","All","P3","blocker","Lambda function parameters not handled correctly"
146786,"serverplugins","Sun Appserver 9","vkraemer","NEW"," ---","Stop using deprecated EnhancedCustomPropertyEditor","2017-02-16 16:17:09","All","P3","blocker","Stop using deprecated EnhancedCustomPropertyEditor"
156707,"python","Editor","tor","NEW"," ---","Python feature requests: retab and docstring wrapping","2017-06-22 21:44:38","All","P3","blocker","Python feature requests: retab and docstring wrapping"
161573,"java","Hints","msauer","REOPENED"," ---","IllegalArgumentException: Incorrect number of type arguments","2017-12-14 19:07:09","All","P3","blocker","IllegalArgumentException: Incorrect number of type arguments"
143494,"editor","Formatting & Indentation","mkristofic","REOPENED"," ---","Import / export editor formatting settings","2017-03-04 12:54:57","All","P3","blocker","Import / export editor formatting settings"
167126,"python","Editor","tor","NEW"," ---","whitespace correction","2017-06-22 21:50:48","All","P3","blocker","whitespace correction"
169087,"editor","Completion & Templates","dbalek","REOPENED"," ---","Ability to view class/method/function signature (plus code snippet) on mouseover/hover","2018-02-02 12:15:05","All","P3","blocker","Ability to view class/method/function signature (plus code snippet) on mouseover/hover"
146287,"projects","Maven","mkleint","REOPENED"," ---","Debug maven projects when argLine is set on surefire plugin","2017-08-25 21:35:29","Mac OS X","P3","blocker","Debug maven projects when argLine is set on surefire plugin"
171847,"python","Console","ardavis26","NEW"," ---","Add IPython console support","2017-06-22 21:56:39","All","P3","blocker","Add IPython console support"
156988,"python","Editor","mr_lou_d","NEW"," ---","Default Whitespace setting (spaces or tabs)","2017-06-22 22:02:23","All","P3","blocker","Default Whitespace setting (spaces or tabs)"
98701,"editor"," -- Other --","mkristofic","NEW"," ---","Allow to open very big files?","2017-08-15 14:31:23","All","P3","blocker","Allow to open very big files?"
117161,"editor","Formatting & Indentation","dbalek","REOPENED"," ---","simple way to turn off text line limit","2017-06-22 08:14:18","All","P3","blocker","simple way to turn off text line limit"
120569,"installer","Code","lfischmeistr","NEW"," ---","Netbeans uninstaller should be able to run without Java on the system","2017-09-30 16:31:59","All","P3","blocker","Netbeans uninstaller should be able to run without Java on the system"
151932,"python","Editor","tor","NEW"," ---","function code folding moves next function header to the folding line","2017-06-22 22:06:54","All","P3","blocker","function code folding moves next function header to the folding line"
168483,"php","FTP Support","issues","NEW"," ---","Add ""Upload open files...""","2017-01-06 17:17:57","All","P3","blocker","Add ""Upload open files..."""
172729,"guibuilder","Code","issues","NEW"," ---","[69cat][68cat] Save of form blocks EQ","2017-12-04 10:13:20","Linux","P3","blocker","[69cat][68cat] Save of form blocks EQ"
123504,"cnd","Editor","issues","NEW"," ---","Extending reserved words","2017-07-14 22:08:13","All","P3","blocker","Extending reserved words"
163029,"python","Platform","ardavis26","NEW"," ---","project.license not being read in Python  templates","2017-06-22 22:13:50","All","P3","blocker","project.license not being read in Python  templates"
46482,"projects","Ant","jglick","REOPENED"," ---","[40cat] Cannot add libraries to freeform project","2017-04-22 14:15:31","Windows 7 x64","P3","blocker","[40cat] Cannot add libraries to freeform project"
104815,"ruby","Code","issues","NEW"," ---","HAML syntax highlighting","2017-07-05 09:26:56","All","P3","blocker","HAML syntax highlighting"
121245,"platform","Window System","saubrecht","REOPENED"," ---","Windows can show off screen if secondary monitor is missing","2018-01-26 11:40:00","All","P3","blocker","Windows can show off screen if secondary monitor is missing"
98707,"javascript","Editor","ppisl","NEW"," ---","unreachable code","2017-06-26 21:52:08","All","P3","blocker","unreachable code"
156031,"versioncontrol","CVS","issues","NEW"," ---","[67cat] IllegalArgumentException: Unknown repository status: R","2017-09-13 06:17:35","All","P3","blocker","[67cat] IllegalArgumentException: Unknown repository status: R"
87492,"guibuilder","Code","issues","NEW"," ---","It's not possible to customize code on root componets","2017-07-18 15:43:48","All","P3","blocker","It's not possible to customize code on root componets"
167101,"php","Editor","obrejla","NEW"," ---","SQL Code Complete should show Views and View Columns","2017-03-09 13:49:10","All","P3","blocker","SQL Code Complete should show Views and View Columns"
86669,"java","Source","jlahoda","REOPENED"," ---","Error annotation not removed","2017-07-18 17:20:18","All","P3","blocker","Error annotation not removed"
111536,"editor","Formatting & Indentation","dbalek","REOPENED"," ---","Indenting of pasted lines and parameters","2018-02-26 15:28:22","All","P3","blocker","Indenting of pasted lines and parameters"
153562,"javaee","Persistence","dongmeic","REOPENED"," ---","Primary Keys Forced to BigDecimals, again","2017-04-25 17:01:36","All","P3","blocker","Primary Keys Forced to BigDecimals, again"
115702,"profiler","Base","issues","NEW"," ---","Discard 64k limit of instrumented methods","2017-01-14 05:38:07","All","P3","blocker","Discard 64k limit of instrumented methods"
93370,"guibuilder","Natural Layout","issues","NEW"," ---","Add MiG Layout support","2017-05-16 01:19:05","All","P3","blocker","Add MiG Layout support"
175843,"editor","Actions/Menu/Toolbar","mmetelka","REOPENED"," ---","add 'duplicate selection' action","2018-02-19 01:55:14","All","P3","blocker","add 'duplicate selection' action"
157437,"java","Project","tzezula","NEW"," ---","java.lang.OutOfMemoryError: Java heap space","2019-05-12 16:16:52","Windows XP","P3","blocker","java.lang.OutOfMemoryError: Java heap space"
154177,"db","Code","lfischmeistr","STARTED"," ---","SQL scripts for a table should be reachable from DB explorer tree","2017-01-08 16:35:57","All","P3","blocker","SQL scripts for a table should be reachable from DB explorer tree"
79874,"editor","Formatting & Indentation","dbalek","NEW"," ---","Consider offering elastic tab stops as an option","2017-04-25 18:21:48","All","P3","blocker","Consider offering elastic tab stops as an option"
161015,"projects","Generic Infrastructure","tstupka","REOPENED"," ---","[67cat] UTF-8 files with signature (Byte Order Mark) not supported","2017-06-15 10:35:39","Windows 7 x64","P3","blocker","[67cat] UTF-8 files with signature (Byte Order Mark) not supported"
91902,"javascript","Editor","dprusa","NEW"," ---","code completion for methods arguments","2017-06-27 07:26:13","All","P3","blocker","code completion for methods arguments"
124094,"editor"," -- Other --","issues","REOPENED"," ---","Copy freezes netbeans for a few seconds","2017-03-18 18:46:36","Windows Vista","P3","blocker","Copy freezes netbeans for a few seconds"
145741,"editor","Actions/Menu/Toolbar","issues","REOPENED"," ---","Autosave when file loses focus","2017-07-03 20:12:20","All","P3","blocker","Autosave when file loses focus"
52096,"editor"," -- Other --","mkristofic","REOPENED"," ---","Double click selection differs in different source types","2017-05-25 08:57:42","All","P3","blocker","Double click selection differs in different source types"
76739,"java","Project","tzezula","NEW"," ---","j2seproject3:junit appears to looks for tests whose name ends in Test - no way to customize pattern!","2018-11-07 18:46:05","All","P3","blocker","j2seproject3:junit appears to looks for tests whose name ends in Test - no way to customize pattern!"
57069,"javaee","Code","pbuzek","REOPENED"," ---","Cannot Create Class Library Project for J2EE","2017-03-08 16:50:26","All","P3","blocker","Cannot Create Class Library Project for J2EE"
172180,"platform","Templates","mentlicher","NEW"," ---","New template variable ${filepath}","2017-10-09 11:57:46","All","P3","blocker","New template variable ${filepath}"
167074,"java","I18N","ralphbenjamin","NEW"," ---","Better handling of character encodings in editor (希望增强编码识别功能)","2017-06-03 05:28:43","All","P3","blocker","Better handling of character encodings in editor (希望增强编码识别功能)"
166055,"python","Projects","ardavis26","NEW"," ---","Wrong XML namespace","2017-06-22 21:29:26","All","P3","blocker","Wrong XML namespace"
125146,"java","Source","moonko","NEW"," ---","When using Refactor/Rename on a property field, ask whether getters/setters should also be changed","2017-11-08 11:56:46","All","P3","blocker","When using Refactor/Rename on a property field, ask whether getters/setters should also be changed"
155000,"uml","Reporting","issues","NEW"," ---","java.lang.OutOfMemoryError: Java heap space","2018-03-11 03:14:29","All","P3","blocker","java.lang.OutOfMemoryError: Java heap space"
258595,"platform","Output Window","jhavlin","NEW"," ---","OutOfMemoryError: GC overhead limit exceeded","2018-01-31 09:14:17","All","P3","normal","OutOfMemoryError: GC overhead limit exceeded"
270195,"platform"," -- Other --","anebuzelsky","NEW"," ---","ClassCastException at javax.swing.LayoutComparator.compare","2017-08-08 12:49:58","All","P3","normal","ClassCastException at javax.swing.LayoutComparator.compare"
271607,"ide","Code","issues","NEW"," ---","Fora de formatação ou exibição","2017-10-09 12:39:50","Windows 10","P3","normal","Fora de formatação ou exibição"
270795,"platform","Embedded Browser","saubrecht","NEW"," ---","file explorer crash Netbeans","2017-06-03 11:51:27","Windows 10 x64","P3","normal","file explorer crash Netbeans"
269789,"debugger","Code","mentlicher","NEW"," ---","Debugger not stops at breakpoint with linebreak","2017-02-10 10:00:35","Windows 10 x64","P3","normal","Debugger not stops at breakpoint with linebreak"
271928,"php","Editor","issues","NEW"," ---","After clone a file tab on press ctrl z in the second tab the first tab focus is changed","2017-12-18 22:34:11","Windows 10 x64","P3","normal","After clone a file tab on press ctrl z in the second tab the first tab focus is changed"
271163,"platform","Filesystems","jhavlin","NEW"," ---","OutOfMemoryError: GC overhead limit exceeded","2017-07-25 16:26:14","All","P3","normal","OutOfMemoryError: GC overhead limit exceeded"
268300,"cnd","Editor","vkvashin","NEW"," ---","A file is open in two different tabs for some NFS mounts","2017-04-04 16:57:09","Solaris","P3","normal","A file is open in two different tabs for some NFS mounts"
271521,"platform","Window System","saubrecht","NEW"," ---","NullPointerException at bluej.editor.moe.MoePlainView.paint","2017-09-25 12:35:56","All","P3","normal","NullPointerException at bluej.editor.moe.MoePlainView.paint"
270721,"platform","Module System","thurka","NEW"," ---","OutOfMemoryError: Java heap space","2017-05-23 14:34:38","All","P3","normal","OutOfMemoryError: Java heap space"
269653,"ide","Code","issues","NEW"," ---","Auto Completion doesnt work in java","2017-01-26 11:53:58","Windows 10","P3","normal","Auto Completion doesnt work in java"
271860,"ide","Code","issues","NEW"," ---","Unreachable statement error","2017-11-29 10:55:19","Windows 10","P3","normal","Unreachable statement error"
270512,"java","Compiler","dbalek","NEW"," ---","NullPointerException at com.sun.tools.javac.processing.JavacProcessingEnvironment$Round.unrecoverableError","2017-07-10 21:22:39","All","P3","normal","NullPointerException at com.sun.tools.javac.processing.JavacProcessingEnvironment$Round.unrecoverableError"
270201,"ide","Code","issues","NEW"," ---","Package java.io missing","2017-03-25 23:19:16","Windows 10","P3","normal","Package java.io missing"
