"Bug ID","Type","Summary","Product","Component","Assignee","Status","Resolution","Updated","Hardware","Priority","Severity","Summary","OS","Triage Owner"
1754283,"task","[wpt-sync] Sync PR 32754 - [Reland][FedCM Refactor] Rename FederatedCredential#logout()->logoutRPs()","Core","DOM: Security","wptsync","NEW"," ---","2022-02-14 01:55:07","All","P4"," --","[wpt-sync] Sync PR 32754 - [Reland][FedCM Refactor] Rename FederatedCredential#logout()->logoutRPs()","All","Christoph Kerschbaumer [:ckerschb]"
1630138,"task","[wpt-sync] Sync PR 22953 - Update workler-recorder.js","Core","Web Audio","wptsync","NEW"," ---","2020-04-14 18:48:53","All","P4"," --","[wpt-sync] Sync PR 22953 - Update workler-recorder.js","All","Paul Adenot (:padenot)"
1752983,"task","[wpt-sync] Sync PR 32634 - [COEP] Write WPTs for COEP inheritance from `filesystem:` URLs.","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32634 - [COEP] Write WPTs for COEP inheritance from `filesystem:` URLs.","All","Hsin-Yi Tsai [:hsinyi]"
1661832,"task","[wpt-sync] Sync PR 25279 - [css-pseudo] Don't inherit text-indent to ::marker","Core","Layout: Generated Content, Lists, and Counters","wptsync","NEW"," ---","2020-09-01 12:01:32","All","P4"," --","[wpt-sync] Sync PR 25279 - [css-pseudo] Don't inherit text-indent to ::marker","All","Emilio Cobos Álvarez (:emilio)"
1700020,"task","[wpt-sync] Sync PR 28164 - [css-transition] Add an explicit style flush before changing a style.","Core","Layout: Images, Video, and HTML Frames","wptsync","NEW"," ---","2021-03-21 18:03:57","All","P4"," --","[wpt-sync] Sync PR 28164 - [css-transition] Add an explicit style flush before changing a style.","All","Emilio Cobos Álvarez (:emilio)"
1747491,"task","[wpt-sync] Sync PR 32189 - [css-conditional-3] Strengthen test for unbalanced parens","Core","CSS Parsing and Computation","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32189 - [css-conditional-3] Strengthen test for unbalanced parens","All","Emilio Cobos Álvarez (:emilio)"
1751336,"task","[wpt-sync] Sync PR 32485 - Split Chrome and Chromium into separate products","Testing","web-platform-tests","wptsync","NEW"," ---","2022-01-20 21:00:05","All","P4"," --","[wpt-sync] Sync PR 32485 - Split Chrome and Chromium into separate products","All","James Graham [:jgraham]"
1652948,"task","[wpt-sync] Sync PR 24601 - Fetch: multi global tests","Core","DOM: Networking","wptsync","NEW"," ---","2020-07-15 03:38:05","All","P4"," --","[wpt-sync] Sync PR 24601 - Fetch: multi global tests","All","Dragana Damjanovic [:dragana]"
1688854,"task","Add TrustAsia root certificates","NSS","CA Certificate Root Program","bwilson","ASSIGNED"," ---","2021-12-14 23:00:56","Unspecified","P4"," --","Add TrustAsia root certificates","Unspecified","Kathleen Wilson"
1738210,"task","[wpt-sync] Sync PR 31414 - webrtc-svc: demonstrate L1T3 and L1T3 for VP8","Core","WebRTC","wptsync","NEW"," ---","2021-10-28 01:56:15","All","P4"," --","[wpt-sync] Sync PR 31414 - webrtc-svc: demonstrate L1T3 and L1T3 for VP8","All","Michael Froman [:mjf]"
1755082,"task","[wpt-sync] Sync PR 32823 - Bump pytest from 6.2.5 to 7.0.1 in /tools","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-11 14:18:25","All","P4"," --","[wpt-sync] Sync PR 32823 - Bump pytest from 6.2.5 to 7.0.1 in /tools","All","James Graham [:jgraham]"
1723090,"task","Delete trailling glean.restarted events from events list","Data Platform and Tools","Glean.js","nobody","NEW"," ---","2021-09-27 08:43:09","Unspecified","P4"," --","Delete trailling glean.restarted events from events list","Unspecified","Beatriz Rizental [:brizental]"
1753869,"task","[wpt-sync] Sync PR 32710 - Test prerender/service-worker interactions","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-17 12:11:31","All","P4"," --","[wpt-sync] Sync PR 32710 - Test prerender/service-worker interactions","All","James Graham [:jgraham]"
1663205,"task","[wpt-sync] Sync PR 25407 - Test that UTF8 BOM is honored over explicit HTTP charset info in CSS stylesheets","Core","CSS Parsing and Computation","wptsync","NEW"," ---","2020-09-07 06:02:07","All","P4"," --","[wpt-sync] Sync PR 25407 - Test that UTF8 BOM is honored over explicit HTTP charset info in CSS stylesheets","All","Emilio Cobos Álvarez (:emilio)"
1709880,"task","Switch mozilla::intl to use mozilla::Span rather than std::string_view","Core","Internationalization","enordin","NEW"," ---","2021-12-10 09:50:02","Unspecified","P4"," --","Switch mozilla::intl to use mozilla::Span rather than std::string_view","Unspecified","Makoto Kato [:m_kato]"
1752553,"task","[wpt-sync] Sync PR 32593 - [mimesniff] Add tests for invalid name handling","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32593 - [mimesniff] Add tests for invalid name handling","All","James Graham [:jgraham]"
1660513,"task","[wpt-sync] Sync PR 25186 - [Webdriver] Close the window after the drag and drop pointer test","Testing","geckodriver","wptsync","NEW"," ---","2020-09-01 12:01:32","All","P4"," --","[wpt-sync] Sync PR 25186 - [Webdriver] Close the window after the drag and drop pointer test","All","Henrik Skupin (:whimboo) [⌚️UTC+1]"
1745750,"task","Add JavaScript rate metric documentation to the Glean book","Data Platform and Tools","Glean.js","nobody","NEW"," ---","2022-01-10 05:18:32","Unspecified","P4"," --","Add JavaScript rate metric documentation to the Glean book","Unspecified","Beatriz Rizental [:brizental]"
1756187,"task","[wpt-sync] Sync PR 32904 - [@container] Make UpdateStyleAndLayoutTreeForNode understand CQ","Core","Layout","wptsync","NEW"," ---","2022-02-18 07:54:52","All","P4"," --","[wpt-sync] Sync PR 32904 - [@container] Make UpdateStyleAndLayoutTreeForNode understand CQ","All","Daniel Holbert [:dholbert]"
1647348,"enhancement","Implement a `shutdown` API for Glean","Data Platform and Tools","Glean: SDK","nobody","NEW"," ---","2021-01-27 01:15:56","Unspecified","P4"," --","Implement a `shutdown` API for Glean","Unspecified","Jan-Erik Rediger [:janerik]"
1734665,"task","[wpt-sync] Sync PR 31155 - This is a fake PR to make wpt-importer/exporter to skip a change","Testing","web-platform-tests","wptsync","NEW"," ---","2021-10-13 21:54:41","All","P4"," --","[wpt-sync] Sync PR 31155 - This is a fake PR to make wpt-importer/exporter to skip a change","All","James Graham [:jgraham]"
1754590,"task","[wpt-sync] Sync PR 32787 - Revert ""[LayoutNG] Add PropagateChildBreakValues flag to the ConstraintSpace""","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32787 - Revert ""[LayoutNG] Add PropagateChildBreakValues flag to the ConstraintSpace""","All","James Graham [:jgraham]"
1634505,"task","[wpt-sync] Sync PR 23347 - Enforce string prefixes in Python handlers","Testing","web-platform-tests","wptsync","NEW"," ---","2020-04-30 11:38:47","All","P4"," --","[wpt-sync] Sync PR 23347 - Enforce string prefixes in Python handlers","All","James Graham [:jgraham]"
1718146,"task","Add a CA Task List item/report for failed test websites","NSS","Common CA Database","nobody","NEW"," ---","2021-06-24 15:10:17","Unspecified","P4"," --","Add a CA Task List item/report for failed test websites","Unspecified",
1753332,"task","[wpt-sync] Sync PR 32668 - [webcodecs] Support odd visibleRects","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32668 - [webcodecs] Support odd visibleRects","All","James Graham [:jgraham]"
1662563,"task","[wpt-sync] Sync PR 25340 - Fix flaky wpt pointerevent_mouse-pointer-preventdefault","Core","DOM: Events","wptsync","NEW"," ---","2020-09-07 06:02:07","All","P4"," --","[wpt-sync] Sync PR 25340 - Fix flaky wpt pointerevent_mouse-pointer-preventdefault","All","Hsin-Yi Tsai [:hsinyi]"
1705231,"task","[wpt-sync] Sync PR 28490 - [ftp] Add ""ftp"", ""sftp"", and ""ftps"" to custom protocol allowlist.","Core","DOM: Core & HTML","wptsync","NEW"," ---","2021-04-14 15:30:25","All","P4"," --","[wpt-sync] Sync PR 28490 - [ftp] Add ""ftp"", ""sftp"", and ""ftps"" to custom protocol allowlist.","All","Hsin-Yi Tsai [:hsinyi]"
1752194,"task","[wpt-sync] Sync PR 32560 - Fragmented OOF in inline crash","Core","Layout","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32560 - Fragmented OOF in inline crash","All","Daniel Holbert [:dholbert]"
1656910,"task","Deprecate saved-session pings","Data Platform and Tools","Datasets: Mobile","ascholtz","NEW"," ---","2021-02-01 09:53:43","Unspecified","P4"," --","Deprecate saved-session pings","Unspecified","Frank Bertsch [:frank]"
1755803,"task","[wpt-sync] Sync PR 32864 - Fix crash with content-visibility forced detach","Core","Layout","wptsync","NEW"," ---","2022-02-17 08:32:39","All","P4"," --","[wpt-sync] Sync PR 32864 - Fix crash with content-visibility forced detach","All","Daniel Holbert [:dholbert]"
1681073,"task","[wpt-sync] Sync PR 26775 - Fix sequential focus navigation starting point.","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-12-07 07:04:54","All","P4"," --","[wpt-sync] Sync PR 26775 - Fix sequential focus navigation starting point.","All","Hsin-Yi Tsai [:hsinyi]"
1728840,"task","[wpt-sync] Sync PR 30307 - Add tests for coop reporting using Reporting-Endpoints header","Core","DOM: Core & HTML","wptsync","NEW"," ---","2021-09-02 10:13:29","All","P4"," --","[wpt-sync] Sync PR 30307 - Add tests for coop reporting using Reporting-Endpoints header","All","Hsin-Yi Tsai [:hsinyi]"
1662765,"task","[wpt-sync] Sync PR 25363 - WebKit export of https://bugs.webkit.org/show_bug.cgi?id=216075","Core","WebRTC","wptsync","NEW"," ---","2020-09-07 06:02:07","All","P4"," --","[wpt-sync] Sync PR 25363 - WebKit export of https://bugs.webkit.org/show_bug.cgi?id=216075","All","Michael Froman [:mjf]"
1707173,"task","[wpt-sync] Sync PR 28657 - Fix SAB constructor for crypto random-values tests","Core","DOM: Security","wptsync","NEW"," ---","2021-04-27 07:50:24","All","P4"," --","[wpt-sync] Sync PR 28657 - Fix SAB constructor for crypto random-values tests","All","Christoph Kerschbaumer [:ckerschb]"
